mX	mY	CLs	CLsexp	clsu1s	clsd1s	ObsSig	ExpSig	ExpSigUp1s	ExpSigDn1s
260	180	3.9632e-02	2.8932e-02	1.4040e-01	4.5711e-03	 1.755000	 1.896700	 1.078500	 2.606700
260	210	6.6820e-07	3.3766e-07	2.4435e-05	3.3195e-09	 4.834300	 4.968300	 4.061000	 5.799800
260	225	6.7751e-11	2.3238e-11	7.8159e-09	4.8564e-14	 6.420900	 6.581800	 5.654500	 7.444900
260	240	5.5087e-07	2.5160e-07	1.9205e-05	2.3437e-09	 4.872500	 5.025100	 4.116800	 5.857900
260	250	9.3892e-01	9.3494e-01	9.7557e-01	8.8058e-01	-1.545800	-1.513700	-1.969800	-1.177900
280	200	1.0830e-01	8.6077e-02	2.8152e-01	2.0794e-02	 1.235600	 1.365300	 0.578340	 2.037600
280	230	1.5711e-05	8.3557e-06	3.2599e-04	1.5359e-07	 4.162900	 4.304800	 3.409000	 5.119000
280	245	1.3966e-08	6.1684e-09	8.8747e-07	3.0307e-11	 5.553900	 5.695000	 4.777500	 6.542200
280	260	6.0093e-05	3.2208e-05	9.4645e-04	7.8972e-07	 3.845700	 3.996000	 3.106500	 4.800900
280	270	9.4420e-01	9.4090e-01	9.7789e-01	8.9112e-01	-1.591100	-1.562400	-2.012000	-1.232500
300	220	1.8494e-01	1.5043e-01	3.9304e-01	4.6540e-02	 0.896720	 1.034600	 0.271400	 1.679400
300	250	9.2025e-05	5.4055e-05	1.4183e-03	1.4875e-06	 3.740000	 3.871600	 2.984900	 4.672500
300	265	3.4801e-07	1.5589e-07	1.2964e-05	1.3316e-09	 4.962500	 5.116200	 4.206600	 5.951100
300	280	1.6546e-03	9.5811e-04	1.2661e-02	5.3212e-05	 2.937400	 3.102900	 2.236500	 3.875500
300	290	9.4539e-01	9.4224e-01	9.7841e-01	8.9349e-01	-1.601700	-1.573800	-2.021900	-1.245300
320	240	1.7500e-01	1.3835e-01	3.7430e-01	4.1178e-02	 0.934580	 1.087800	 0.320480	 1.737200
320	270	4.4579e-04	2.6581e-04	4.8329e-03	1.0639e-05	 3.322700	 3.464300	 2.587600	 4.251000
320	285	5.3932e-05	2.7677e-05	8.4030e-04	6.5642e-07	 3.872200	 4.031800	 3.141500	 4.837800
320	300	2.3777e-02	1.5935e-02	9.4147e-02	2.0443e-03	 1.981300	 2.146000	 1.315600	 2.871300
320	310	9.5064e-01	9.4807e-01	9.8066e-01	9.0391e-01	-1.651100	-1.626500	-2.067600	-1.304100
350	270	1.9847e-01	1.5382e-01	3.9816e-01	4.8088e-02	 0.847110	 1.020200	 0.258120	 1.663700
350	300	6.9302e-03	4.3762e-03	3.8247e-02	3.7272e-04	 2.460900	 2.621600	 1.771400	 3.372300
350	315	2.5634e-03	1.3685e-03	1.6474e-02	8.3668e-05	 2.799000	 2.995800	 2.132700	 3.763800
350	330	8.1913e-02	6.0331e-02	2.2568e-01	1.2598e-02	 1.392300	 1.552000	 0.753160	 2.238400
350	340	9.7479e-01	9.7413e-01	9.9052e-01	9.5135e-01	-1.956300	-1.945400	-2.346500	-1.658100
380	300	3.4577e-01	3.0462e-01	5.8168e-01	1.3458e-01	 0.396780	 0.511170	-0.206200	 1.105000
380	330	5.8395e-02	4.2281e-02	1.7987e-01	7.6882e-03	 1.568400	 1.724800	 0.915870	 2.423400
380	345	8.6488e-03	5.5207e-03	4.5108e-02	5.0432e-04	 2.380300	 2.541400	 1.694300	 3.288100
380	360	2.9356e-01	2.3688e-01	5.0808e-01	9.1550e-02	 0.543020	 0.716360	-0.020262	 1.331300
380	370	9.8501e-01	9.8478e-01	9.9446e-01	9.7118e-01	-2.170300	-2.164300	-2.540200	-1.898500
400	320	3.3765e-01	3.0604e-01	5.8311e-01	1.3556e-01	 0.418880	 0.507110	-0.209860	 1.100500
400	350	4.4996e-02	3.0881e-02	1.4656e-01	4.9959e-03	 1.695400	 1.868000	 1.051300	 2.576100
400	365	2.4430e-02	1.5629e-02	9.2914e-02	1.9919e-03	 1.969800	 2.153800	 1.323000	 2.879400
400	380	2.4941e-01	2.0258e-01	4.6586e-01	7.2330e-02	 0.676360	 0.832450	 0.085684	 1.458700
400	390	9.9179e-01	9.9173e-01	9.9700e-01	9.8427e-01	-2.399600	-2.396600	-2.748000	-2.151100
450	370	5.3711e-01	4.8093e-01	7.3226e-01	2.7806e-01	-0.093154	 0.047808	-0.619650	 0.588610
450	400	1.6626e-01	1.2654e-01	3.5514e-01	3.6165e-02	 0.969060	 1.142900	 0.371490	 1.797000
450	415	2.2260e-01	1.7919e-01	4.3466e-01	6.0245e-02	 0.763440	 0.918460	 0.164510	 1.552700
450	430	6.6584e-01	6.1054e-01	8.1795e-01	4.1354e-01	-0.428460	-0.280720	-0.907580	 0.218450
450	440	9.9589e-01	9.9591e-01	9.9852e-01	9.9220e-01	-2.643200	-2.644400	-2.972100	-2.418100
500	420	7.1583e-01	6.7307e-01	8.5386e-01	4.8862e-01	-0.570510	-0.448410	-1.053100	 0.028529
500	450	4.7645e-01	4.1443e-01	6.8098e-01	2.1856e-01	 0.059063	 0.216180	-0.470450	 0.777080
500	465	3.8472e-01	3.3403e-01	6.1039e-01	1.5535e-01	 0.293120	 0.428820	-0.280330	 1.013700
500	480	7.6636e-01	7.2304e-01	8.8041e-01	5.5343e-01	-0.726900	-0.591900	-1.177100	-0.134340
500	490	9.9903e-01	9.9903e-01	9.9965e-01	9.9815e-01	-3.099600	-3.099300	-3.389700	-2.902200
550	470	6.8854e-01	6.5317e-01	8.4277e-01	4.6401e-01	-0.491710	-0.393880	-1.005900	 0.090339
550	500	6.0188e-01	5.4217e-01	7.7483e-01	3.3878e-01	-0.258210	-0.105900	-0.754860	 0.415790
550	515	5.8089e-01	5.2338e-01	7.6219e-01	3.1953e-01	-0.204170	-0.058630	-0.713380	 0.469010
550	530	8.4265e-01	8.1825e-01	9.2638e-01	6.8945e-01	-1.005400	-0.908700	-1.449400	-0.494310
550	540	9.9826e-01	9.9826e-01	9.9937e-01	9.9667e-01	-2.921500	-2.921000	-3.225200	-2.713300
600	520	8.7466e-01	8.5670e-01	9.4340e-01	7.4932e-01	-1.148700	-1.065600	-1.584000	-0.672370
600	550	7.6994e-01	7.2646e-01	8.8217e-01	5.5803e-01	-0.738650	-0.602140	-1.185900	-0.145970
600	565	7.4290e-01	7.0974e-01	8.7352e-01	5.3575e-01	-0.652310	-0.552620	-1.143200	-0.089730
600	580	9.1096e-01	9.0225e-01	9.6251e-01	8.2416e-01	-1.346700	-1.294500	-1.780600	-0.931350
600	590	9.9918e-01	9.9918e-01	9.9971e-01	9.9844e-01	-3.150400	-3.150200	-3.436900	-2.955900
650	580	8.6983e-01	8.5035e-01	9.4065e-01	7.3924e-01	-1.125600	-1.037900	-1.560300	-0.641010
650	600	8.2789e-01	7.9473e-01	9.1556e-01	6.5428e-01	-0.945850	-0.822960	-1.375800	-0.396890
650	615	7.9596e-01	7.6000e-01	8.9895e-01	6.0424e-01	-0.827260	-0.706310	-1.275600	-0.264330
650	630	9.5389e-01	9.5166e-01	9.8204e-01	9.1034e-01	-1.683800	-1.661200	-2.097800	-1.342900
650	640	9.9939e-01	9.9939e-01	9.9978e-01	9.9884e-01	-3.236000	-3.235900	-3.516500	-3.046200
