mX	mY	CLs	CLsexp	clsu1s	clsd1s	ObsSig	ExpSig	ExpSigUp1s	ExpSigDn1s
200.0	110.0	2.446294e-08	1.707654e-06	9.12512e-05	2.281673e-08	5.46	4.64	3.74	5.47
225.0	135.0	5.287998e-10	8.646307e-08	7.977097e-06	6.650493e-10	6.10	5.23	4.32	6.06
225.0	75.0	0.0006894037	6.652877e-05	0.001666793	1.918965e-06	3.20	3.82	2.94	4.62
250.0	100.0	4.35884e-05	3.469819e-05	0.001003301	8.64849e-07	3.92	3.98	3.09	4.78
250.0	130.0	5.145368e-06	1.434167e-06	7.924533e-05	1.852394e-08	4.41	4.68	3.78	5.50
250.0	160.0	9.489411e-08	2.514645e-06	0.0001246693	3.625036e-08	5.21	4.56	3.66	5.38
275.0	125.0	0.001829362	0.0003870085	0.006424119	1.700409e-05	2.91	3.36	2.49	4.14
275.0	155.0	7.526298e-08	8.829758e-08	8.116529e-06	6.816796e-10	5.25	5.22	4.31	6.06
275.0	185.0	1.292014e-06	3.745328e-05	0.001065132	9.494346e-07	4.70	3.96	3.07	4.76
300.0	150.0	0.0001964946	3.406381e-05	0.000988907	8.455857e-07	3.54	3.98	3.09	4.79
300.0	180.0	1.453753e-06	2.92917e-06	0.0001409499	4.352283e-08	4.68	4.53	3.63	5.35
300.0	210.0	0.0002284343	0.003010204	0.0292499	0.0002296693	3.50	2.75	1.89	3.50
325.0	175.0	0.005100397	0.000639354	0.009368038	3.192959e-05	2.57	3.22	2.35	4.00
325.0	235.0	0.0004604872	0.006435477	0.05026285	0.0006162011	3.31	2.49	1.64	3.23
350.0	200.0	0.04707208	0.009722797	0.06706217	0.001060122	1.67	2.34	1.50	3.07
350.0	230.0	0.002718968	0.001525133	0.01783905	9.605386e-05	2.78	2.96	2.10	3.73
350.0	260.0	0.003295164	0.01915162	0.1066224	0.002615969	2.72	2.07	1.24	2.79
375.0	225.0	0.04887797	0.01188438	0.07703795	0.001382966	1.66	2.26	1.43	2.99
375.0	255.0	0.006213614	0.001776763	0.01994951	0.0001167284	2.50	2.92	2.05	3.68
375.0	285.0	0.01049056	0.03043916	0.1451789	0.004898713	2.31	1.87	1.06	2.58
400.0	250.0	0.0890114	0.01865062	0.1047336	0.00252441	1.35	2.08	1.26	2.80
400.0	280.0	0.02829951	0.0160625	0.09465883	0.002066201	1.91	2.14	1.31	2.87
400.0	310.0	0.02715217	0.09876706	0.3061388	0.02530234	1.92	1.29	0.51	1.95
425.0	275.0	0.09921398	0.01945192	0.1077457	0.002671282	1.29	2.07	1.24	2.79
425.0	305.0	0.06244958	0.05075354	0.2022403	0.009899888	1.53	1.64	0.83	2.33
425.0	335.0	0.02769227	0.1207837	0.3454565	0.03380368	1.92	1.17	0.40	1.83
450.0	300.0	0.3665164	0.1799751	0.4357491	0.06063727	0.34	0.92	0.16	1.55
450.0	330.0	0.1668827	0.1110604	0.3285712	0.02994534	0.97	1.22	0.44	1.88
450.0	360.0	0.1961367	0.2896628	0.5663923	0.1245074	0.86	0.55	-0.17	1.15
475.0	325.0	0.3648362	0.1489656	0.3908177	0.04587895	0.35	1.04	0.28	1.69
475.0	355.0	0.2407019	0.2608091	0.5354135	0.1059844	0.70	0.64	-0.09	1.25
475.0	385.0	0.1658793	0.3525319	0.6275986	0.1690626	0.97	0.38	-0.33	0.96
500.0	350.0	0.5951078	0.3196322	0.5965561	0.14503	-0.24	0.47	-0.24	1.06
500.0	380.0	0.5092707	0.3435414	0.6193156	0.1623389	-0.02	0.40	-0.30	0.98
500.0	410.0	0.2163989	0.4959737	0.7430937	0.29244	0.78	0.01	-0.65	0.55
525.0	375.0	0.6397232	0.4368239	0.6988946	0.2378581	-0.36	0.16	-0.52	0.71
525.0	405.0	0.4794335	0.3894747	0.6601868	0.1979288	0.05	0.28	-0.41	0.85
525.0	435.0	0.3607303	0.4669395	0.7219319	0.2649887	0.36	0.08	-0.59	0.63
550.0	400.0	0.6015463	0.3376176	0.6137776	0.1579729	-0.26	0.42	-0.29	1.00
550.0	460.0	0.5789056	0.6672268	0.8506331	0.4813245	-0.20	-0.43	-1.04	0.05
